week,game_id,away,home,home_ppg,away_ppg,home_yards_ppa,away_yards_ppa,home_ypg,away_ypg,home_tom,away_tom,home_oypg,away_oypg,home_rpf,away_rpr
7,104,NY Jets,Denver,14.3,22.7,6.8,6.3,328.6,331.1,-0.1,0.3,309,305.4,143.96,144.5
7,105,Kansas City,San Francisco,20.7,31.9,7.6,8.1,355,403.3,-0.4,0,286.1,332.9,147.48,169.82
7,106,Seattle,LA Chargers,23.4,26.1,6.5,7.9,368.3,362.9,0.3,0.3,354.5,378.9,162.3,169.44
7,107,Pittsburgh,Miami,21,15.3,8.1,6.1,367,298.6,-0.3,-0.3,357.6,347.8,165.26,144.48
7,108,Chicago,New England,22.1,18,8,7.7,341.1,307.3,-0.3,0.1,312.3,355.6,151.04,151.6
8,109,Baltimore,Tampa Bay,18.3,26,6.7,7,332.9,359.4,0.3,0.8,326.4,364.3,148.98,164.1
8,110,Pittsburgh,Philadelphia,28,15,8.5,6,395.4,298.8,2,-0.5,298.1,395.1,161.7,153.68
8,111,New England,NY Jets,22,22.1,6.6,7.7,338.1,334.5,0,0,311.4,350.5,147.5,156.82
8,112,Las Vegas,New Orleans,24.9,23.3,7.5,6.8,394.4,340.9,-1.1,-0.3,320.8,366.7,162.8,159.72
8,113,Arizona,Minnesota,24.7,22.8,6.7,6.1,345.7,347.1,0.9,0.4,383.1,362.4,164.28,158.74
8,114,Miami,Detroit,24.7,22.3,7.6,8.4,394.9,380.6,-0.7,-0.4,421.3,362.8,183.24,169.86
8,115,Chicago,Dallas,22.9,19.4,6.8,7.5,322.1,315.3,0.8,0.1,313.5,344,145.46,150.76
8,116,Carolina,Atlanta,25,19.8,8,6.9,320.8,297.6,0.1,-0.1,415.8,358.6,168.34,148.98
8,117,Tennessee,Houston,16.6,18.9,6.3,7.2,288.7,285.6,0.4,0.3,403.6,343.9,154.46,144.14
8,118,Washington,Indianapolis,16.1,17.8,6.9,6.7,339.4,331,-1,-0.5,319.8,334.4,148.66,149.94
8,119,San Francisco,LA Rams,16.9,22,6.8,7.9,297.4,356.6,-0.7,-0.4,310.9,285.9,138.5,148.62
8,120,NY Giants,Seattle,26.3,20.4,7.7,6.3,352.1,320.6,0.4,0.3,377.4,345.6,166.64,149.98
8,121,Green Bay,Buffalo,29,18.1,8.1,6.6,430.6,339.9,0.3,-0.4,298.1,316,167.8,147.92
8,122,Cincinnati,Cleveland,25,23.3,7.3,7.7,385.8,349,-0.5,0,331.4,336,162.94,157.06
